priority,lane,chart,version,base,current_result,reason,next_step_type,rerun_readiness,diagnosis,rerun_command,followup,support_artifact,receipt,related_lifecycle_result,related_lifecycle_receipt
30,configHub-oci-live-comparison,argo-cd/argo-cd,9.5.17,default,watch,gitops-runtime: child Argo Application not materialized (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/9.5.17 --base default,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/argo-cd/argo-cd/9.5.17/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/mongodb,19.0.9,existing-secret-replicaset,watch,gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/bitnami/mongodb/19.0.9 --base existing-secret-replicaset --repo-url oci://registry-1.docker.io/bitnamicharts,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/bitnami/mongodb/19.0.9/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/mongodb,19.1.0,existing-secret-replicaset,watch,gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/bitnami/mongodb/19.1.0 --base existing-secret-replicaset --repo-url oci://registry-1.docker.io/bitnamicharts,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/bitnami/mongodb/19.1.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/nginx,24.0.4,existing-tls-ingress,watch,gitops-runtime: Argo health Progressing (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/bitnami/nginx/24.0.4 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/bitnami/nginx/24.0.4/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/nginx,25.0.0,existing-tls-ingress,watch,gitops-runtime: Argo health Progressing (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/bitnami/nginx/25.0.0 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/bitnami/nginx/25.0.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/opensearch,2.0.10,default,watch,target-runtime: pod config/runtime errors (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",,runs/live-helm-confighub-compare/bitnami-opensearch-default/receipt.yaml,,
30,configHub-oci-live-comparison,bitnami/opensearch,2.0.10,ha,watch,target-runtime: pod config/runtime errors (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",,runs/live-helm-confighub-compare/bitnami-opensearch-ha/receipt.yaml,,
30,configHub-oci-live-comparison,elastic/filebeat,8.5.1,default,watch,target-runtime: pod ContainerCreating (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base default,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml,,
30,configHub-oci-live-comparison,elastic/filebeat,8.5.1,node-or-cluster-collector,watch,target-runtime: pod ContainerCreating (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base node-or-cluster-collector,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/elastic-filebeat-node-or-cluster-collector/receipt.yaml,,
30,configHub-oci-live-comparison,fluent/fluentd,0.5.3,default,watch,target-runtime: pod config/runtime errors (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/fluent/fluentd/0.5.3 --base default,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/fluent/fluentd/0.5.3/runtime-review.yaml,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml,,
30,configHub-oci-live-comparison,grafana/pyroscope,2.0.2,default,watch,target-runtime: ConfigHub workload not ready (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base default,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml,,
30,configHub-oci-live-comparison,grafana/pyroscope,2.0.2,no-crds,watch,target-runtime: ConfigHub workload not ready (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base no-crds,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml,,
30,configHub-oci-live-comparison,grafana/tempo,1.24.4,s3-query-observability,watch,gitops-runtime: Argo health Progressing (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/grafana/tempo/1.24.4 --base s3-query-observability,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/grafana/tempo/1.24.4/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/grafana-tempo-s3-query-observability/receipt.yaml,,
30,configHub-oci-live-comparison,hashicorp/consul,2.0.0,secure-mesh-existing-secrets,watch,gitops-runtime: Argo health Progressing (parity passed),gitops-runtime-review,review-target-first,"Semantic parity and workload readiness passed, but the GitOps controller reported a sync or health condition that needs review.",npm run live-parity:run -- --recipe recipes/hashicorp/consul/2.0.0 --base secure-mesh-existing-secrets --target-profile kind-three-node,Inspect the Argo application condition and target resources; keep the recipe stable unless semantic parity starts failing.,recipes/hashicorp/consul/2.0.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/hashicorp-consul-secure-mesh-existing-secrets/receipt.yaml,,
30,configHub-oci-live-comparison,hashicorp/terraform,1.1.2,default,watch,target-runtime: pod ContainerCreating (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base default,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/hashicorp-terraform-default/receipt.yaml,,
30,configHub-oci-live-comparison,hashicorp/terraform,1.1.2,no-crds,watch,target-runtime: pod ContainerCreating (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base no-crds,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/hashicorp-terraform-no-crds/receipt.yaml,,
30,configHub-oci-live-comparison,hashicorp/vault,0.32.0,ha-raft-ui,watch,operate-policy: Vault init/unseal readiness (parity passed),operating-policy,model-or-stage-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base ha-raft-ui,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/hashicorp/vault/0.32.0/operating-policy.yaml,runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml,,
30,configHub-oci-live-comparison,istio/gateway,1.30.0,controller-default-reviewed,watch,target-runtime: pod config/runtime errors (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/istio/gateway/1.30.0 --base controller-default-reviewed,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/istio/gateway/1.30.0/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/istio-gateway-controller-default-reviewed/receipt.yaml,,
30,configHub-oci-live-comparison,istio/gateway,1.30.0,default,watch,target-runtime: pod config/runtime errors (parity passed),runtime-review,review-target-first,Receipt exists and comparison did not fail; inspect readiness detail and decide whether this is acceptable target behavior.,npm run live-parity:run -- --recipe recipes/istio/gateway/1.30.0 --base default,"Convert to pass only when expected live readiness settles, otherwise keep as watch with a clear target limitation.",recipes/istio/gateway/1.30.0/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/istio-gateway-default/receipt.yaml,,
