space,chart,version,variant,result,units,detail
argo-cd-argo-cd-9-5-15-default,argo-cd/argo-cd,9.5.15,default,exists,50,skipped (immutable base)
argo-cd-argo-cd-9-5-15-no-crds,argo-cd/argo-cd,9.5.15,no-crds,exists,47,skipped (immutable base)
bitnami-mysql-14-0-3-existing-secret,bitnami/mysql,14.0.3,existing-secret,exists,10,skipped (immutable base)
bitnami-mysql-14-0-3-static-passwords,bitnami/mysql,14.0.3,static-passwords,exists,10,skipped (immutable base)
bitnami-nginx-24-0-2-existing-tls-ingress,bitnami/nginx,24.0.2,existing-tls-ingress,exists,9,skipped (immutable base)
bitnami-nginx-24-0-2-http-clusterip,bitnami/nginx,24.0.2,http-clusterip,exists,8,skipped (immutable base)
bitnami-rabbitmq-16-0-14-existing-secret,bitnami/rabbitmq,16.0.14,existing-secret,exists,11,skipped (immutable base)
bitnami-rabbitmq-16-0-14-static-passwords,bitnami/rabbitmq,16.0.14,static-passwords,exists,11,skipped (immutable base)
bitnami-redis-25-5-3-default,bitnami/redis,25.5.3,default,exists,16,skipped (immutable base)
bitnami-redis-25-5-3-reuse-existing-secret,bitnami/redis,25.5.3,reuse-existing-secret,exists,16,skipped (immutable base)
grafana-grafana-10-5-15-existing-secret-ingress,grafana/grafana,10.5.15,existing-secret-ingress,exists,12,skipped (immutable base)
grafana-grafana-10-5-15-static-passwords,grafana/grafana,10.5.15,static-passwords,exists,11,skipped (immutable base)
hashicorp-vault-0-32-0-default,hashicorp/vault,0.32.0,default,exists,15,skipped (immutable base)
hashicorp-vault-0-32-0-dev-mode,hashicorp/vault,0.32.0,dev-mode,exists,14,skipped (immutable base)
hashicorp-vault-0-32-0-ha-raft-ui,hashicorp/vault,0.32.0,ha-raft-ui,exists,21,skipped (immutable base)
ingress-nginx-ingress-nginx-4-15-1-admission-disabled,ingress-nginx/ingress-nginx,4.15.1,admission-disabled,exists,12,skipped (immutable base)
ingress-nginx-ingress-nginx-4-15-1-default,ingress-nginx/ingress-nginx,4.15.1,default,exists,14,skipped (immutable base)
ingress-nginx-ingress-nginx-4-15-1-internal-clusterip,ingress-nginx/ingress-nginx,4.15.1,internal-clusterip,exists,12,skipped (immutable base)
prometheus-community-kube-prometheus-stack-85-3-3-no-crds,prometheus-community/kube-prometheus-stack,85.3.3,no-crds,created,115,
prometheus-community-prometheus-29-8-0-default,prometheus-community/prometheus,29.8.0,default,created,26,
prometheus-community-prometheus-29-8-0-server-only-ephemeral,prometheus-community/prometheus,29.8.0,server-only-ephemeral,created,9,
