id,area,status,claim,evidence_paths,verify_commands,limit_or_refusal
render-parity,core,backed,"For catalogued bases, cub installer output is compared with regular Helm output under recorded inputs.",data/outcome-coverage/base-outcomes.csv; data/live-kind-parity/summary.md; data/live-helm-confighub-compare/summary.md; data/lane-test-matrix/summary.md,npm run outcomes:verify; npm run kind-parity:verify; npm run live-parity:verify,"The claim is per chart, version, base, values profile, and target profile. It is not a claim over the whole Helm values space."
top20-live-evidence,catalog,backed,"The top-20 catalog has committed live evidence, but exact strength still depends on the chart, base, and lane.",data/status-dashboard/top20-status.csv; data/live-e2e/summary.md; data/top20-base-readiness/summary.md; data/outcome-coverage/base-outcomes.csv,npm run top20:verify-local-e2e; npm run top20:base-readiness:verify; npm run outcomes:verify,This is not a blanket production-support statement. Production support is target-scoped.
top100-proof-corpus,catalog,backed,"The top-100 corpus contains maintained proof-grade recipe and package artifacts, with readiness separated from production support.",data/top100-readiness/summary.md; data/top100-coverage/summary.md; data/top100-catalog-analysis/summary.md; data/next80-full-proofs/summary.md,npm run top100:readiness:verify; npm run top100:coverage:verify; npm run next80:verify,"Many top-100 rows still need catalog review, useful variants, production disposition, or selected live lanes."
helm-pain-point-coverage,pain-points,partial,The project maps common Helm pain points to a general solution and per-chart pain reports.,docs/user/helm-pain-points.md; data/pain-point-coverage/summary.md; data/pain-point-coverage/pain-points.csv; recipes/bitnami/redis/25.5.3/helm-pain-report.yaml,npm run pain-points:verify; npm run catalog:pain-reports:verify,Coverage is strongest for the top-20 and for pain points represented in current source scans and receipts.
hooks-lifecycle,lifecycle,partial,"Helm hooks and hook-like lifecycle behavior are inventoried and routed to lifecycle receipts, policy, or explicit refusal.",docs/user/hook-lifecycle-strategy.md; data/hook-lifecycle/summary.md; data/lifecycle-boundary/summary.md; runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml,npm run hooks:lifecycle:verify; npm run lifecycle:boundary:verify; npm run lifecycle:gatekeeper-hooks:verify,Lifecycle proof is still partial. Some hook classes require per-chart observation or target-specific operating policy.
crd-webhook-controller-observation,lifecycle,partial,"CRDs, webhooks, and controller-populated fields are treated as lifecycle facts that need fresh observation, not as static YAML certainty.",data/lifecycle-observations/cert-manager-eso/summary.md; data/lifecycle-boundary/summary.md; docs/user/why-synced-is-not-working.md; docs/user/what-we-refuse-to-claim.md,npm run lifecycle:cert-manager-eso:verify; npm run lifecycle:boundary:verify,CRD upgrade and controller mutation remain per-chart decisions until more live upgrade receipts exist.
secrets-generated-facts,facts,partial,"Generated values, existing secrets, and target facts are separated so secret handling is explicit.",docs/reference/generated-fact-receipts.md; recipes/bitnami/redis/25.5.3/install-checks.yaml; docs/user/try-now.md; data/attack-plan-workdown/secret-gap-workdown.csv,npm run redis:verify-package; npm run attack-plan:verify,This does not make ConfigHub a universal secret manager. Some variants require a pre-existing target secret.
config-variants,variants,partial,"Base variants are render-time installer choices; derived ConfigHub variants are post-render refinements for target, environment, region, customer, or operations.",docs/user/creating-variants.md; docs/user/change-routing-before-oci.md; data/variant-goldens/redis-prod-us-east/README.md; data/outcome-coverage/derived-variant-outcomes.csv,npm run variant-goldens:verify; npm run outcomes:verify,"If a change requires a new Helm render, it belongs back in the installer recipe path."
custom-overlays,variants,partial,"Wrapper chart and values-overlay cases can be modeled as managed imports, with customer choices routed to installer bases or ConfigHub derived variants.",docs/user/custom-overlays.md; docs/reference/customization-algorithm.md; data/managed-overlay-goldens/external-dns-customer-acme-prod/README.md; docs/corpus/kubara-customized-overlays.md,npm run variant-goldens:verify,"The Kubara-style case is a managed-import pattern, not a free public-catalog guarantee for arbitrary private overlays."
scan-gates-safe-ops,operations,partial,"Rendered objects can be scanned, gated, patched, approved, and recorded as ConfigHub operation evidence.",data/external-scan-lane/summary.md; data/scan-disposition-workdown/summary.md; docs/user/tutorial-sequence.md; docs/demo/redis/function-scan-lane.md; docs/demo/redis/safe-ops-lane.md,npm run external-scan:verify; npm run scan-disposition:workdown:verify,Scanner results and safe-operation examples do not imply every chart is production-approved.
oci-gitops-runtime,delivery,partial,"OCI and GitOps delivery are part of the live proof path, with Argo/Flux status separated from local apply evidence.",data/runtime-gitops/summary.md; data/runtime-gitops/wave1.csv; docs/user/adopting-existing-apps.md; docs/user/chain-of-proof.md,npm run runtime-gitops:wave:verify,A green local live row is not the same thing as Argo or Flux pulling ConfigHub OCI successfully.
public-fast-paths,commands,backed,"The command story distinguishes quick inspection, quick ConfigHub import, maintained installer recipes, and post-render variants.",docs/user/choosing-commands.md; docs/reference/direct-cub-helm-model.md; docs/user/why-this-exists.md; docs/user/verify-it-yourself.md,npm run docs:verify; npm run installer:command-surface:verify; npm run variant:command-surface:verify,Fast commands do not carry the same evidence as supported catalog packages unless the proof lanes are run.
serverless-verified-install,commercial,planned,A low-friction verified-install path can exist before full paid ConfigHub operations.,docs/planning/serverless-verified-install-plan.md; docs/planning/verified-install-commercial-model.md; docs/user/product-support-tiers.md,npm run docs:verify,"This is planning, not a current shipped anonymous service claim."
