chart,base,current_result,next_step_type,reason,support_artifact,receipt,rerun_command
jaegertracing/jaeger-operator@2.57.0,default,blocked,runtime-review,helm-runtime: upstream leg blocked,,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-default/receipt.yaml,npm run live-parity:run -- --recipe recipes/jaegertracing/jaeger-operator/2.57.0 --base default
argo-cd/argo-cd@9.5.17,default,watch,gitops-runtime-review,gitops-runtime: child Argo Application not materialized (parity passed),recipes/argo-cd/argo-cd/9.5.17/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml,npm run live-parity:run -- --recipe recipes/argo-cd/argo-cd/9.5.17 --base default
bitnami/apache@11.4.29,default,watch,runtime-review,target-runtime: pod config/runtime errors (parity passed),,runs/live-helm-confighub-compare/bitnami-apache-default/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/apache/11.4.29 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/mongodb@19.0.9,existing-secret-replicaset,watch,gitops-runtime-review,gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),recipes/bitnami/mongodb/19.0.9/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/mongodb/19.0.9 --base existing-secret-replicaset --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/mongodb@19.1.0,existing-secret-replicaset,watch,gitops-runtime-review,gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),recipes/bitnami/mongodb/19.1.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/mongodb/19.1.0 --base existing-secret-replicaset --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx@24.0.4,existing-tls-ingress,watch,gitops-runtime-review,gitops-runtime: Argo health Progressing (parity passed),recipes/bitnami/nginx/24.0.4/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/nginx/24.0.4 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx@25.0.0,existing-tls-ingress,watch,gitops-runtime-review,gitops-runtime: Argo health Progressing (parity passed),recipes/bitnami/nginx/25.0.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/nginx/25.0.0 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch@2.0.10,default,watch,runtime-review,target-runtime: pod config/runtime errors (parity passed),,runs/live-helm-confighub-compare/bitnami-opensearch-default/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch@2.0.10,ha,watch,runtime-review,target-runtime: pod config/runtime errors (parity passed),,runs/live-helm-confighub-compare/bitnami-opensearch-ha/receipt.yaml,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
elastic/filebeat@8.5.1,default,watch,runtime-review,target-runtime: pod ContainerCreating (parity passed),recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base default
